gpsTOW	cT	EKF VelN	EKF VelE	EKF VelD	EKF PosN	EKF PosE	EKF PosD	EKF Roll	EKF Pitch	EKF Yaw	EKF Lat	EKF Lon	EKF Alt	CMP VelN	CMP VelE	CMP VelD	CMP PosN	CMP PosE	CMP PosD	CMP Roll	CMP Pitch	CMP Yaw	CMP Lat	CMP Lon	CMP Alt	GPS Lat	GPS Lon	GPS Alt	GPS VelN	GPS VelE	GPS VelD	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ	MagX	MagY	MagZ	piAlpha	piPfwd	piP45	ardAlpha	ardPfwd	ardP45	Alpha	Beta
413338175.0000000	18475.0000000	-0.0055139	-0.0657693	-0.0590000	1.5206683	3.9829886	3.4400005	-1.1528872	2.4109254	124.9639435	29.1816284	-81.0454615	-16.7609997	0.0407754	-0.0496682	-0.0961954	0.3219631	0.0927114	16.8424549	-2.4375000	-2.0625000	34.2290573	29.1816250	-81.0454615	-16.8424549	29.1816284	-81.0454615	-16.7609997	0.0510000	0.0420000	-0.0590000	0.3900000	-0.3500000	9.9499998	-0.0000000	0.0000000	0.0625000	-28.1875000	-17.0625000	31.8750000	57.3912125	8151.0000000	8141.0000000	32.5600014	8127.0000000	8125.0000000	0.1001665	-0.0558660
413338200.0000000	18500.0000000	-0.0055139	-0.0657693	-0.0590000	1.5206683	3.9829886	3.4400005	-1.1520889	2.4121199	124.9662781	29.1816284	-81.0454615	-16.7609997	0.0403707	-0.0599209	-0.1012534	0.3219530	0.0924551	16.8425808	-2.4375000	-2.0625000	34.5515366	29.1816250	-81.0454615	-16.8425808	29.1816284	-81.0454615	-16.7609997	0.0510000	0.0420000	-0.0590000	0.3600000	-0.3600000	10.0500002	-0.0000000	0.0625000	0.1250000	-28.1875000	-17.3750000	30.5625000	41.7380257	8148.0000000	8147.0000000	33.3800011	8130.0000000	8125.0000000	-0.0988931	0.0536265
413338225.0000000	18525.0000000	-0.0055139	-0.0657693	-0.0590000	1.5206683	3.9829886	3.4400005	-1.1505094	2.4133141	124.9686432	29.1816284	-81.0454615	-16.7609997	0.0401459	-0.0705723	-0.1037848	0.3219474	0.0921888	16.8426437	-2.4375000	-2.0625000	34.5515366	29.1816250	-81.0454615	-16.8426437	29.1816284	-81.0454615	-16.7609997	0.0510000	0.0420000	-0.0590000	0.3800000	-0.3700000	9.9499998	0.0625000	0.0000000	0.0625000	-28.1875000	-17.3750000	30.5625000	45.7999268	8148.0000000	8144.0000000	32.9199982	8130.0000000	8128.0000000	-0.4016094	0.5849062
413338250.0000000	18550.0000000	-0.0055139	-0.0657693	-0.0590000	1.5206683	3.9829886	3.4400005	-1.1497755	2.4129152	124.9694443	29.1816284	-81.0454615	-16.7609997	0.0391531	-0.0809036	-0.1101123	0.3219226	0.0919305	16.8428020	-2.4375000	-2.0625000	36.1713028	29.1816250	-81.0454615	-16.8428020	29.1816284	-81.0454615	-16.7609997	0.0510000	0.0420000	-0.0590000	0.3500000	-0.3700000	10.1000004	-0.0625000	-0.0625000	-0.0000000	-27.7500000	-18.0625000	32.6875000	57.3912125	8151.0000000	8141.0000000	34.2000008	8133.0000000	8125.0000000	-0.7232810	1.8329515
413338300.0000000	18575.0000000	-0.0155391	-0.1853498	-0.0660000	1.5206683	3.9829886	3.5669994	-1.1491395	2.4116879	124.9679413	29.1816284	-81.0454615	-16.6340008	0.0965145	-0.0677497	-0.0943188	0.3245507	0.0917803	16.7593269	-2.4375000	-2.0625000	36.1713028	29.1816250	-81.0454615	-16.7593269	29.1816284	-81.0454615	-16.6340008	0.1840000	-0.0330000	-0.0660000	0.3500000	-0.3600000	9.9700003	0.0625000	-0.0625000	-0.1250000	-27.7500000	-18.0625000	32.6875000	18.7441635	8143.0000000	8141.0000000	33.7799988	8133.0000000	8128.0000000	-1.0141016	4.1159568
413338325.0000000	18600.0000000	-0.0155391	-0.1853498	-0.0660000	1.5206683	3.9829886	3.5669994	-1.1382141	2.4109070	124.9650345	29.1816284	-81.0454615	-16.6340008	0.0963913	-0.0783339	-0.1008545	0.3245477	0.0915157	16.7594910	-2.4375000	-2.0625000	35.5718460	29.1816250	-81.0454615	-16.7594910	29.1816284	-81.0454615	-16.6340008	0.1840000	-0.0330000	-0.0660000	0.3800000	-0.3600000	10.1099997	0.3750000	-0.0625000	-0.0625000	-28.1875000	-18.0625000	31.0625000	18.7441635	8143.0000000	8141.0000000	32.7999992	8133.0000000	8134.0000000	0.0327147	-0.1254603
413338350.0000000	18625.0000000	-0.0155391	-0.1853498	-0.0660000	1.5206683	3.9829886	3.5669994	-1.1321023	2.4096806	124.9635315	29.1816284	-81.0454615	-16.6340008	0.0959968	-0.0889957	-0.1038922	0.3245378	0.0912492	16.7595673	-2.4375000	-2.0625000	35.5718460	29.1816250	-81.0454615	-16.7595673	29.1816284	-81.0454615	-16.6340008	0.1840000	-0.0330000	-0.0660000	0.3800000	-0.3700000	9.9700003	0.0625000	-0.0625000	-0.0625000	-28.1875000	-18.0625000	31.0625000	75.5541916	8143.0000000	8147.0000000	33.7799988	8133.0000000	8128.0000000	-0.0324933	0.1224168
413338375.0000000	18650.0000000	-0.0155391	-0.1853498	-0.0660000	1.5206683	3.9829886	3.5669994	-1.1298319	2.4092660	124.9635544	29.1816284	-81.0454615	-16.6340008	0.0955498	-0.0991525	-0.1099571	0.3245266	0.0909953	16.7597179	-2.4375000	-2.0625000	33.8153343	29.1816250	-81.0454615	-16.7597179	29.1816284	-81.0454615	-16.6340008	0.1840000	-0.0330000	-0.0660000	0.3500000	-0.3600000	10.0900002	0.0625000	0.0000000	0.0625000	-28.5625000	-17.0625000	31.3750000	62.0277252	8145.0000000	8147.0000000	32.5600014	8127.0000000	8125.0000000	-0.0847974	0.8448549
413338400.0000000	18675.0000000	-0.0062658	-0.0747378	-0.0600000	1.5206683	3.9829886	3.6100006	-1.1283765	2.4103990	124.9627762	29.1816284	-81.0454615	-16.5909996	0.0853969	-0.0551209	-0.0918160	0.3271609	0.0908445	16.6922760	-2.4375000	-2.0625000	33.8153343	29.1816250	-81.0454615	-16.6922760	29.1816284	-81.0454615	-16.5909996	0.0710000	0.0260000	-0.0600000	0.3500000	-0.3600000	9.9700003	-0.0000000	0.0625000	-0.1250000	-28.5625000	-17.0625000	31.3750000	1.1586227	8154.0000000	8147.0000000	32.9199982	8130.0000000	8128.0000000	-0.0562688	2.2618377
413338425.0000000	18700.0000000	-0.0062658	-0.0747378	-0.0600000	1.5206683	3.9829886	3.6100006	-1.1228691	2.4120893	124.9606247	29.1816284	-81.0454615	-16.5909996	0.0854891	-0.0651295	-0.0976175	0.3271632	0.0905943	16.6924210	-2.4375000	-2.0625000	34.6645699	29.1816250	-81.0454615	-16.6924210	29.1816284	-81.0454615	-16.5909996	0.0710000	0.0260000	-0.0600000	0.3700000	-0.3400000	10.0799999	-0.0000000	0.0000000	-0.0000000	-27.7500000	-17.0625000	31.8750000	41.7380257	8148.0000000	8147.0000000	34.2000008	8133.0000000	8125.0000000	0.0728466	-0.1335002
